cds,adcod,cdscod,media_voto,genere,etaimm,citttipo,rn
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,E1601N009,E1601N,29.0,M,25.5,Italiana,5
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,E1601N001,E1601N,29.125,M,18,Italiana,4
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,E1601N017,E1601N,29.1666666666667,F,19,Italiana,5
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,E1601N017,E1601N,29.1666666666667,M,20,Italiana,3
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,E1601N001,E1601N,29.25,F,19,Italiana,3
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,E1601N002,E1601N,29.25,F,19,Italiana,4
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,E1601N009,E1601N,29.8333333333333,M,28,Italiana,2
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,E1601N017,E1601N,29.8333333333333,F,19,Italiana,2
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,E1601N006,E1601N,30.0,M,28,Italiana,1
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,E1601N009,E1601N,30.0,F,20,Italiana,1
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E1801M018,E1801M,29.0,M,19,Italiana,9
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E1801M018,E1801M,29.0,M,19,Italiana,10
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E1801M005,E1801M,29.1428571428571,M,19,Italiana,6
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E1801M005,E1801M,29.1428571428571,M,19,Italiana,7
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E1801M005,E1801M,29.1428571428571,M,20,Italiana,8
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E1801M005,E1801M,29.1666666666667,M,19,Italiana,5
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E1801M005,E1801M,29.3333333333333,F,19,Italiana,9
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E1801M018,E1801M,29.3333333333333,F,19,Italiana,10
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E1801M004,E1801M,29.4285714285714,F,19,Italiana,8
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E1801M005,E1801M,29.4285714285714,M,19,Italiana,3
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E1801M005,E1801M,29.4285714285714,M,19,Italiana,4
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E1801M018,E1801M,29.5714285714286,F,19,Italiana,7
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E1801M004,E1801M,29.6666666666667,F,19,Italiana,6
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E1801M018,E1801M,29.6666666666667,F,19,Italiana,5
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E1801M004,E1801M,30.0,F,19,Extra Comunitaria,2
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E1801M018,E1801M,30.0,F,19,Italiana,3
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E1801M031,E1801M,30.0,F,20,Italiana,1
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E1801M042,E1801M,30.0,M,22,Extra Comunitaria,1
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E1801M052,E1801M,30.0,F,19,Italiana,4
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E1801M052,E1801M,30.0,M,19,Italiana,2
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,E1802M005,E1802M,29.0,M,19,Italiana,10
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,E1802M005,E1802M,29.1666666666667,M,19,Italiana,8
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,E1802M026,E1802M,29.1666666666667,M,20,Italiana,9
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,E1801M042,E1802M,29.3333333333333,F,19,Italiana,10
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,E1802M005,E1802M,29.3333333333333,M,19,Italiana,7
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,E1802M120,E1802M,29.3333333333333,F,19,Italiana,9
