cdscod,cds,dtappello,commitment
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-07-17T00:00:00Z,2
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-08-06T00:00:00Z,2
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-09-20T00:00:00Z,2
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-09-25T00:00:00Z,2
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-09-26T00:00:00Z,2
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-10-07T00:00:00Z,2
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-10-16T00:00:00Z,2
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-10-27T00:00:00Z,2
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-11-07T00:00:00Z,2
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-11-09T00:00:00Z,2
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-12-07T00:00:00Z,2
F0802Q,[F0802Q] BIOTECNOLOGIE INDUSTRIALI,2017-12-14T00:00:00Z,2
F0901D,[F0901D] BIOTECNOLOGIE MEDICHE,2017-01-26T00:00:00Z,2
F0901D,[F0901D] BIOTECNOLOGIE MEDICHE,2017-02-23T00:00:00Z,2
F0901D,[F0901D] BIOTECNOLOGIE MEDICHE,2017-04-07T00:00:00Z,2
F0901D,[F0901D] BIOTECNOLOGIE MEDICHE,2017-05-07T00:00:00Z,2
F0901D,[F0901D] BIOTECNOLOGIE MEDICHE,2017-05-19T00:00:00Z,2
F0901D,[F0901D] BIOTECNOLOGIE MEDICHE,2017-06-19T00:00:00Z,2
F0901D,[F0901D] BIOTECNOLOGIE MEDICHE,2017-07-06T00:00:00Z,2
F0901D,[F0901D] BIOTECNOLOGIE MEDICHE,2017-07-13T00:00:00Z,2
F0901D,[F0901D] BIOTECNOLOGIE MEDICHE,2017-07-27T00:00:00Z,2
F0901D,[F0901D] BIOTECNOLOGIE MEDICHE,2017-08-09T00:00:00Z,2
F0901D,[F0901D] BIOTECNOLOGIE MEDICHE,2017-09-13T00:00:00Z,2
F0901D,[F0901D] BIOTECNOLOGIE MEDICHE,2017-09-25T00:00:00Z,2
F0901D,[F0901D] BIOTECNOLOGIE MEDICHE,2017-12-06T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-01-03T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-01-25T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-01-31T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-02-17T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-02-21T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-02-22T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-04-19T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-04-20T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-06-19T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-06-21T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-06-27T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-07-17T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-07-18T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-07-19T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-07-21T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-07-25T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-08-09T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-09-14T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-09-20T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-09-21T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-11-04T00:00:00Z,2
F1601M,[F1601M] ECONOMIA E FINANZA,2017-11-09T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-01-02T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-01-03T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-01-06T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-02-13T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-03-07T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-04-07T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-04-09T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-04-27T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-05-06T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-05-16T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-06-07T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-06-21T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-06-23T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-06-26T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-06-28T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-07-06T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-07-21T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-07-24T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-07-26T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-09-01T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-09-02T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-09-03T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-09-14T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-09-21T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-09-28T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-10-04T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-10-10T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-10-16T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-11-09T00:00:00Z,2
F1701Q,[F1701Q] FISICA,2017-12-09T00:00:00Z,2
F1801Q,[F1801Q] INFORMATICA,2017-01-27T00:00:00Z,2
F1801Q,[F1801Q] INFORMATICA,2017-02-17T00:00:00Z,2
F1801Q,[F1801Q] INFORMATICA,2017-06-23T00:00:00Z,2
F1801Q,[F1801Q] INFORMATICA,2017-07-02T00:00:00Z,2
F1801Q,[F1801Q] INFORMATICA,2017-09-02T00:00:00Z,2
F1801Q,[F1801Q] INFORMATICA,2017-09-14T00:00:00Z,2
F1801Q,[F1801Q] INFORMATICA,2017-09-15T00:00:00Z,2
F1801Q,[F1801Q] INFORMATICA,2017-10-07T00:00:00Z,2
F4001Q,[F4001Q] MATEMATICA,2017-01-24T00:00:00Z,2
F4001Q,[F4001Q] MATEMATICA,2017-01-27T00:00:00Z,2
F4001Q,[F4001Q] MATEMATICA,2017-02-14T00:00:00Z,2
F4001Q,[F4001Q] MATEMATICA,2017-05-07T00:00:00Z,2
F4001Q,[F4001Q] MATEMATICA,2017-06-11T00:00:00Z,2
F4001Q,[F4001Q] MATEMATICA,2017-06-19T00:00:00Z,2
F4001Q,[F4001Q] MATEMATICA,2017-07-13T00:00:00Z,2
F4001Q,[F4001Q] MATEMATICA,2017-07-21T00:00:00Z,2
F4001Q,[F4001Q] MATEMATICA,2017-09-05T00:00:00Z,2
F4001Q,[F4001Q] MATEMATICA,2017-09-14T00:00:00Z,2
F4001Q,[F4001Q] MATEMATICA,2017-09-15T00:00:00Z,2
F4001Q,[F4001Q] MATEMATICA,2017-09-27T00:00:00Z,2
F4001Q,[F4001Q] MATEMATICA,2017-12-09T00:00:00Z,2
F4901N,"[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE",2016-12-14T00:00:00Z,2
F4901N,"[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE",2017-01-25T00:00:00Z,2
F4901N,"[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE",2017-04-19T00:00:00Z,2
F4901N,"[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE",2017-04-20T00:00:00Z,2
F4901N,"[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE",2017-04-28T00:00:00Z,2
F4901N,"[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE",2017-06-04T00:00:00Z,2
F4901N,"[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE",2017-07-09T00:00:00Z,2
F4901N,"[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE",2017-07-13T00:00:00Z,2
F4901N,"[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE",2017-09-20T00:00:00Z,2
